DateTime;Water Equivalent Thickness – Land (GRACE, GRACE-FO CSR)
16/01/2016 12:00;-1,283384562
14/02/2016 0:00;-1,733034372
16/03/2016 12:00;-9,044129372
20/05/2016 0:00;-13,19771767
16/06/2016 0:00;-6,460041046
15/07/2016 12:00;-0,003326318
21/08/2016 12:00;1,2479912042617798
27/11/2016 12:00;7,797489643096924
24/12/2016 12:00;4,590484142303467
21/01/2017 0:00;3,734704018
31/03/2017 12:00;-9,156405449
24/04/2017 12:00;-12,18564606
13/05/2017 0:00;-10,61154842
10/06/2017 12:00;-8,582508087
16/06/2018 0:00;-0,792484045
10/07/2018 0:00;2,326587677001953
31/10/2018 12:00;9,839456558227539
16/11/2018 0:00;8,148434639
16/12/2018 12:00;4,298097610473633
16/01/2019 12:00;-0,750830233
15/02/2019 12:00;-5,331263065
16/03/2019 12:00;-10,67181778
16/04/2019 0:00;-14,39726639
16/05/2019 12:00;-14,13882256
16/06/2019 0:00;-6,978710175
16/07/2019 12:00;-3,868373871
16/08/2019 12:00;-4,163889408
16/09/2019 0:00;-6,836062908
16/10/2019 12:00;3,4235048294067383
16/11/2019 0:00;2,8166897296905518
16/12/2019 12:00;0,4347424805164337
16/01/2020 12:00;-2,039477587
15/02/2020 12:00;-8,463376999
16/03/2020 12:00;-9,831622124
16/04/2020 0:00;-22,13357925
16/05/2020 12:00;-19,97802925
16/06/2020 0:00;-8,599255562
16/07/2020 12:00;-1,742883921
16/08/2020 12:00;4,028941631317139
16/09/2020 0:00;4,152471066
16/10/2020 12:00;6,817332744598389
16/11/2020 0:00;11,164671897888184
16/12/2020 12:00;7,3882904052734375
16/01/2021 12:00;3,872570037841797
15/02/2021 0:00;0,4365542531013489
16/03/2021 12:00;-6,050932407
16/04/2021 0:00;-10,3080349
16/05/2021 12:00;-14,50159168
16/06/2021 0:00;-5,461749077
16/07/2021 12:00;1,8160091638565063
16/08/2021 12:00;3,350985527038574
16/09/2021 0:00;6,317911148071289
16/10/2021 12:00;7,3720269203186035
16/11/2021 0:00;6,663708686828613
16/12/2021 12:00;2,1962547302246094
16/01/2022 12:00;-2,860592127
15/02/2022 0:00;-1,924409389
16/03/2022 12:00;-8,478367805
16/04/2022 0:00;-15,48837852
16/05/2022 12:00;-9,226247787
16/06/2022 0:00;-2,615540504
16/07/2022 12:00;2,6255416870117188
16/08/2022 12:00;9,617437362670898
16/09/2022 0:00;6,8590264320373535
16/10/2022 12:00;14,745338439941406
16/11/2022 0:00;10,38648796081543
16/12/2022 12:00;8,647455215454102
16/01/2023 12:00;5,923730373382568
15/02/2023 0:00;-1,357854366
16/03/2023 12:00;-5,441404343
16/04/2023 0:00;-13,3373394
16/05/2023 12:00;-14,16023445
16/06/2023 0:00;-9,353849411
16/07/2023 12:00;0,28223755955696106
16/08/2023 12:00;0,6451656222343445
16/09/2023 0:00;0,079328582
16/10/2023 12:00;6,195323467254639
16/11/2023 0:00;8,435859680175781
16/12/2023 12:00;5,540399551391602
16/01/2024 12:00;2,4381444454193115
15/02/2024 12:00;-4,123552322
16/03/2024 12:00;-11,7490778
16/04/2024 0:00;-16,00262642
16/05/2024 12:00;-18,95852661
16/06/2024 0:00;-8,835976601
